fips,region,urbanisation,pct_aian_alone,pct_api_alone,pct_black_alone,pct_white_alone,pct_multiple_response,census2000_population
55103,midwest,nonmetro,0.26,0.25,0.19,98.72,0.57,17924
55105,midwest,medium_small_metro,0.3,0.86,4.7,93.02,1.12,152307
55107,midwest,nonmetro,0.46,0.36,0.53,98.14,0.51,15347
55109,midwest,large_fringe,0.25,0.66,0.3,98.18,0.6,63155
55111,midwest,nonmetro,0.87,0.29,0.26,98.07,0.51,55225
55113,midwest,nonmetro,16.12,0.31,0.31,82.14,1.11,16196
55115,midwest,nonmetro,6.29,0.39,0.23,92.02,1.07,40664
55117,midwest,medium_small_metro,0.37,3.49,1.12,94.37,0.64,112646
55119,midwest,nonmetro,0.19,0.25,0.09,99.0,0.47,19680
55121,midwest,nonmetro,0.17,0.15,0.14,99.18,0.37,27010
55123,midwest,nonmetro,0.15,0.22,0.07,99.16,0.38,28056
55125,midwest,nonmetro,9.1,0.19,0.2,89.92,0.58,21033
55127,midwest,nonmetro,0.26,0.7,0.86,97.56,0.62,93759
55129,midwest,nonmetro,1.02,0.21,0.17,97.49,1.11,16036
55131,midwest,large_fringe,0.26,0.63,0.4,98.21,0.5,117493
55133,midwest,large_fringe,0.23,1.55,0.76,96.8,0.66,360767
55135,midwest,nonmetro,0.42,0.29,0.18,98.58,0.53,51731
55137,midwest,nonmetro,0.32,0.38,0.29,98.34,0.67,23154
55139,midwest,medium_small_metro,0.47,1.93,1.14,95.76,0.71,156763
55141,midwest,nonmetro,0.72,1.65,0.28,96.81,0.55,75555
56001,west,nonmetro,1.02,1.8,1.16,94.55,1.46,32014
56003,west,nonmetro,0.81,0.28,0.12,97.99,0.79,11461
56005,west,nonmetro,0.97,0.43,0.19,97.41,0.99,33698
56007,west,nonmetro,1.35,0.84,0.7,96.22,0.9,15639
56009,west,nonmetro,0.96,0.29,0.15,97.46,1.14,12052
56011,west,nonmetro,1.05,0.08,0.05,98.25,0.56,5887
56013,west,nonmetro,19.77,0.35,0.15,78.29,1.44,35804
56015,west,nonmetro,0.89,0.33,0.22,97.96,0.59,12538
56017,west,nonmetro,1.6,0.25,0.35,96.78,1.02,4882
56019,west,nonmetro,0.68,0.14,0.08,98.04,1.06,7075
56021,west,medium_small_metro,0.92,1.17,2.75,93.48,1.68,81607
56023,west,nonmetro,0.59,0.3,0.11,98.07,0.93,14573
56025,west,medium_small_metro,1.08,0.47,0.8,96.5,1.14,66533
56027,west,nonmetro,0.5,0.12,0.12,98.71,0.54,2407
56029,west,nonmetro,0.48,0.49,0.09,98.15,0.78,25786
56031,west,nonmetro,0.62,0.24,0.16,98.15,0.83,8807
56033,west,nonmetro,1.29,0.52,0.19,97.03,0.97,26560
56035,west,nonmetro,0.52,0.34,0.2,98.16,0.78,5920
56037,west,nonmetro,1.09,0.71,0.77,96.25,1.18,37613
56039,west,nonmetro,0.54,0.68,0.19,97.78,0.81,18251
56041,west,nonmetro,0.94,0.4,0.11,97.62,0.93,19742
56043,west,nonmetro,0.6,0.8,0.12,97.29,1.19,8289
56045,west,nonmetro,1.26,0.23,0.12,97.26,1.13,6644
